@RELATION data 
@ATTRIBUTE id string
@ATTRIBUTE ItemLength numeric
@ATTRIBUTE numWords numeric
@ATTRIBUTE containsQuestionMark {true,false}
@ATTRIBUTE containsExclamationMark {true,false}
@ATTRIBUTE hasExternalLink {true,false}
@ATTRIBUTE numNouns numeric
@ATTRIBUTE containsHappyEmo {true,false}
@ATTRIBUTE containsSadEmo {true,false}
@ATTRIBUTE containsFirstOrderPron {true,false}
@ATTRIBUTE containsSecondOrderPron {true,false}
@ATTRIBUTE containsThirdOrderPron {true,false}
@ATTRIBUTE numUppercaseChars numeric
@ATTRIBUTE numPosSentiWords numeric
@ATTRIBUTE numNegSentiWords numeric
@ATTRIBUTE numMentions numeric}
@ATTRIBUTE numHashtags numeric
@ATTRIBUTE numURLs numeric
@ATTRIBUTE retweetCount numeric
@ATTRIBUTE numSlangs numeric
@ATTRIBUTE hasColon {true,false}
@ATTRIBUTE hasPlease {true,false}
@ATTRIBUTE wotTrust numeric
@ATTRIBUTE numQuestionMark numeric
@ATTRIBUTE numExclamationMark numeric
@ATTRIBUTE readability numeric
@ATTRIBUTE urlIndegree numeric
@ATTRIBUTE urlHarmonic numeric
@ATTRIBUTE alexaCountryRank numeric
@ATTRIBUTE alexaDeltaRank numeric
@ATTRIBUTE alexaPopularity numeric
@ATTRIBUTE alexaReachRank numeric
@ATTRIBUTE theClass {fake,real}
@DATA
'263315503546773505',48,4,false,false,false,0,false,false,false,false,false,1,0,1,1,1,1,2,0,false,false,?,0,0,34.59,?,?,?,?,?,?,fake
'263140494127804418',87,11,false,true,false,4,false,false,true,false,false,3,0,0,1,1,1,24,0,true,false,?,0,1,86.705,?,?,?,?,?,?,fake
'263002206545002496',96,12,true,true,false,4,false,false,false,false,false,1,0,1,0,3,1,0,1,false,false,?,1,5,113.1,?,?,?,?,?,?,fake
'262963509351026690',116,17,false,false,false,6,false,false,false,false,false,6,1,1,1,0,1,10,0,false,false,?,0,0,68.819,?,?,?,?,?,?,fake
'263019608078942208',64,7,false,false,false,2,false,false,false,false,false,4,1,1,0,1,1,0,0,false,false,?,0,0,63.805,?,?,?,?,?,?,fake
'263053787994923008',76,8,false,false,false,2,false,false,true,false,false,2,0,0,1,2,1,1,0,false,false,?,0,0,73.845,?,?,?,?,?,?,fake
'263244311645286401',77,9,true,false,false,2,false,false,false,false,false,1,0,0,1,1,1,3,3,false,false,?,1,0,82.39,?,?,?,?,?,?,fake
'263007112001638400',62,6,false,true,false,1,false,false,false,false,false,0,1,0,0,2,1,0,0,false,false,?,0,1,97.025,?,?,?,?,?,?,fake
'263166200790536192',116,13,false,false,false,3,false,false,false,false,false,1,1,1,0,9,1,0,0,false,false,?,0,0,97.025,?,?,?,?,?,?,fake
'263255834841202689',100,12,false,true,false,4,false,false,false,false,false,4,0,1,2,1,1,40,1,true,false,?,0,1,93.472,?,?,?,?,?,?,fake
'262998463120297984',97,12,false,true,false,4,false,false,true,false,false,1,2,1,1,8,1,3,0,false,false,?,0,1,97.025,?,?,?,?,?,?,fake
'263195085024419841',130,10,false,true,false,5,false,false,false,false,false,1,0,0,1,3,1,1,1,false,false,?,0,1,78.873,?,?,?,?,?,?,fake
'263043892226711552',105,14,false,true,false,6,false,false,false,false,false,4,3,0,3,1,1,9,1,false,false,?,0,1,87.997,?,?,?,?,?,?,fake
'263072440534573056',88,11,false,false,false,2,false,false,false,false,false,2,1,0,1,1,1,5,0,false,false,?,0,0,64.925,?,?,?,?,?,?,fake
'263018611814313984',87,10,false,false,false,2,false,false,false,false,false,2,0,0,1,2,1,1,0,false,false,?,0,0,113.1,?,?,?,?,?,?,fake
'263131512675917824',78,10,false,true,false,3,false,false,false,true,false,3,0,1,1,1,1,8,1,false,false,?,0,1,94.3,?,?,?,?,?,?,fake
'263095363928477696',98,14,false,true,false,5,false,false,false,false,false,3,0,1,0,2,1,0,1,false,false,?,0,7,103.005,?,?,?,?,?,?,fake
'263127783683788800',89,12,false,false,true,4,false,false,false,false,false,2,0,2,2,2,1,0,2,true,false,69,0,0,94.3,302389,302389,302389,302389,302389,302389,fake
'263015384263831552',90,11,false,false,false,2,false,false,true,false,false,3,0,0,1,1,1,2,1,false,false,?,0,0,78.245,?,?,?,?,?,?,fake
'263203866798063617',126,18,false,false,false,8,false,false,false,false,false,4,0,1,1,2,1,0,0,true,false,?,0,0,90.09,?,?,?,?,?,?,fake
'263057600034246656',66,6,false,true,false,2,false,false,false,false,false,1,0,1,1,2,1,1,0,false,false,?,0,1,97.025,?,?,?,?,?,?,fake
'262997889545011200',96,12,false,true,false,3,false,false,false,false,false,2,2,0,0,2,1,0,0,false,false,?,0,1,74.86,?,?,?,?,?,?,fake
'263024012228177920',38,4,false,false,false,?,false,false,?,?,?,0,?,?,1,1,1,0,?,false,false,?,0,0,?,?,?,?,?,?,?,fake
'263000592841064452',122,15,false,false,false,8,false,false,false,false,false,7,0,0,2,1,1,0,1,true,false,?,0,0,81.855,?,?,?,?,?,?,fake
'263007007332782080',111,14,false,false,false,8,false,false,false,false,false,7,1,0,2,1,1,0,2,true,false,?,0,0,87.997,?,?,?,?,?,?,fake
'262994821436809218',116,15,false,true,false,9,false,false,false,false,false,5,2,0,2,2,1,0,0,true,false,?,0,2,104.075,?,?,?,?,?,?,fake
'263133082322870273',128,22,false,false,false,6,false,false,false,false,true,5,0,0,0,1,1,0,2,false,false,?,0,0,80.777,?,?,?,?,?,?,fake
'263250926272397312',85,11,false,true,false,3,false,false,false,false,false,2,0,0,0,2,1,0,0,false,false,?,0,2,80.068,?,?,?,?,?,?,fake
'263268085367197696',69,9,false,true,false,2,false,false,false,false,false,1,1,0,0,1,1,0,1,false,false,?,0,1,84.9,?,?,?,?,?,?,fake
'263008885219143680',82,9,true,false,false,1,false,false,false,false,false,1,0,1,2,1,1,0,1,true,false,?,1,0,66.787,?,?,?,?,?,?,fake
'263145630719959040',136,16,false,true,false,4,false,false,false,false,false,6,0,1,2,2,1,0,2,true,false,?,0,3,81.855,?,?,?,?,?,?,fake
'262957504235970560',148,15,true,false,false,2,false,false,true,true,false,3,0,1,1,3,1,0,1,true,false,?,1,0,102.532,?,?,?,?,?,?,fake
'263144262504415232',129,21,false,false,false,8,false,false,false,false,false,2,0,0,0,7,1,0,1,false,false,?,0,0,101.37,?,?,?,?,?,?,fake
'262992498731917315',133,15,false,true,false,10,false,false,false,false,false,4,1,0,3,2,1,0,1,true,false,?,0,2,61.268,?,?,?,?,?,?,fake
'263092849569067008',72,14,false,false,false,7,false,false,false,false,false,4,0,0,0,1,1,0,0,true,false,?,0,0,78.873,?,?,?,?,?,?,fake
'263223219098615808',111,11,true,false,false,4,false,false,false,false,false,4,0,1,0,4,1,0,2,false,false,?,1,0,103.044,?,?,?,?,?,?,fake
'262992427936264192',92,8,false,false,false,2,false,false,false,false,false,1,1,0,1,5,1,3,0,false,false,?,0,0,62.79,?,?,?,?,?,?,fake
'263012198920646657',102,14,false,true,false,6,false,false,false,false,false,2,1,1,1,1,1,0,0,true,false,?,0,2,97.001,?,?,?,?,?,?,fake
'263030750415319040',140,19,false,false,false,8,false,false,false,false,false,5,1,1,2,2,1,0,0,true,false,?,0,0,108.983,?,?,?,?,?,?,fake
'263004702072004608',73,8,false,false,false,3,false,false,false,false,false,4,0,0,1,1,1,0,1,true,false,?,0,0,102.045,?,?,?,?,?,?,fake
'263085171111251969',81,10,false,false,false,6,false,false,true,false,false,5,0,0,1,1,1,1,2,false,false,?,0,0,66.1,?,?,?,?,?,?,fake
'263126947196989441',127,17,false,false,false,7,false,false,false,false,false,3,0,0,2,1,1,11,0,false,false,?,0,0,78.81,?,?,?,?,?,?,fake
'263106178920349696',80,9,false,false,false,4,false,false,false,false,false,3,0,1,2,1,1,0,1,true,false,?,0,0,87.945,?,?,?,?,?,?,fake
'263141948192337920',116,15,false,false,true,7,false,false,false,false,false,4,0,2,3,2,1,0,1,true,false,69,0,0,95.165,302389,302389,302389,302389,302389,302389,fake
'263047997892472832',140,18,false,false,false,6,false,false,false,false,false,6,0,2,1,1,1,0,0,true,false,?,0,0,60.192,?,?,?,?,?,?,fake
'263337671819153410',75,8,true,false,false,4,false,false,false,false,false,1,0,0,0,4,1,0,1,false,false,?,1,0,118.175,?,?,?,?,?,?,fake
'262949386051518465',88,7,false,false,false,2,false,false,false,false,false,1,1,0,0,4,1,0,0,false,false,?,0,0,62.79,?,?,?,?,?,?,fake
'263080478062563328',88,10,true,false,false,4,false,false,false,false,false,2,0,0,0,1,1,0,3,false,false,?,2,0,103.379,?,?,?,?,?,?,fake
'263051992803454976',59,8,false,false,false,2,false,false,false,false,false,3,1,0,0,1,1,0,3,false,false,?,0,0,103.044,?,?,?,?,?,?,fake
'263013780068372482',111,16,false,false,false,4,false,false,false,false,false,2,1,2,0,3,1,0,2,false,false,?,0,0,96.114,?,?,?,?,?,?,fake
'263094847282503681',130,16,true,true,false,6,false,false,true,false,false,12,0,0,2,2,1,0,0,true,false,?,2,2,53.655,?,?,?,?,?,?,fake
'263238061020835840',68,9,false,false,false,2,false,false,false,false,false,1,0,3,0,1,1,0,1,false,false,?,0,0,103.54,?,?,?,?,?,?,fake
'263120286667374593',90,10,false,true,false,2,false,false,false,false,false,3,0,0,2,1,1,1,0,true,false,?,0,1,86.45,?,?,?,?,?,?,fake
'263027670487539713',85,11,false,false,false,3,false,false,false,false,false,5,0,0,0,2,1,0,1,false,false,?,0,0,103.54,?,?,?,?,?,?,fake
'263006305835421697',97,11,true,true,false,6,false,false,false,false,false,5,0,0,0,3,1,0,0,false,false,?,1,1,50.665,?,?,?,?,?,?,fake
'262986172026990593',105,12,false,true,false,5,false,false,false,false,false,3,1,0,1,3,1,0,1,false,false,?,0,1,103.625,?,?,?,?,?,?,fake
'263115091912826881',79,11,true,false,false,3,false,false,false,false,false,2,0,1,1,1,1,0,0,false,false,?,1,0,86.705,?,?,?,?,?,?,fake
'263308104995856384',127,18,false,true,false,3,false,false,false,true,false,3,1,1,0,4,1,0,2,false,false,?,0,1,89.896,?,?,?,?,?,?,fake
'263100771770462208',126,16,true,false,false,8,false,false,false,false,false,5,1,0,2,2,1,0,2,true,false,?,1,0,67.755,?,?,?,?,?,?,fake
'263185347989606400',130,19,true,true,false,7,false,false,false,true,true,8,0,1,2,1,1,0,1,true,false,?,2,1,98.253,?,?,?,?,?,?,fake
'263263935560560640',88,14,false,false,false,4,false,false,true,false,false,1,0,0,1,2,1,0,2,false,false,?,0,0,96.025,?,?,?,?,?,?,fake
'262995843051843584',102,13,false,false,false,4,false,false,false,false,false,2,0,3,0,3,1,0,1,false,false,?,0,0,44.405,?,?,?,?,?,?,fake
